"id","nom","conservation"
"309026","SAUCISSE POLONAISE","frigo"
"309027","SAUCISSE MAISON","frigo"
"310012","CUBES DE PORC","frigo"
"310015","BACON DE DOS","frigo"
"310017","JAMBON HACHÉ","frigo"
"310021","TOURTIERE DE PORC","frigo"
"310026","SAUCISSE MEXICAINE","frigo"
"310027","SAUCISSE A LA BIERE","frigo"
"311005","Agneau fumé","congelo"
"311010","COTELETTE DÉSOSSÉE","frigo"
"311020","Cuisses de pintade","congelo"
"312002","SAUCISSES CITRON-LIME  (agneau)","congelo"
"312003","Foie d'agneau","congelo"
"312011","SAUCISSON CHORIZO","frigo"
"312012","JAMBON ALLONGÉE","frigo"
"312017","SAUCISSE ITALIENNE FORTE","frigo"
"313009","TERRINE CANNEBERGE","frigo"
"313011","Fesse de porc désossé","frigo"
"313012","FOIE DE PORC","frigo"
"313014","ROTI DE PORC (EPAULE)","frigo"
"313016","COTE LEVÉE","frigo"
"313017","COTE LEVÉE DE DOS","frigo"
"313020","FEVES AUX LARDS","frigo"
"313022","TERRINE AUX POMMES","frigo"
"313031","SAUCISSE TOMATE ET BASILIC","frigo"
"313032","SAUCISSE ERABLE","frigo"
"314007","LONGE DE PORC DÉSOSSÉ","frigo"
"314010","SAUCE SPAGHETTI","frigo"
"314013","JAMBON ROLL","frigo"
"314014","PICNIC FUMÉ","frigo"
"314016","TERRINE ABRICOT","frigo"
"314018","SAUCISSON PIQUANT","frigo"
"315010","TERRINE PORTO ET AMANDE","frigo"
"315015","SAUCISSE PROVENCALE","frigo"
"315018","SAUCISSE ITALIENNE DOUCE","frigo"
"315021","SAUCISSE MIEL ET MOUTARDE","frigo"
"320002","Gâteau reine élizabeth","tablette"
"320010","Cretons de porc *SANS GLUTEN*","congelo"
"320020","Muffins aux pommes et avoine","tablette"
"320027","Décaféiné Mélange Bisou Dodo GRAINS","tablette"
"320030","Décaféiné   Sidamo - MOUTURE FILTRE ","tablette"
"320037","Hauts de cuisses désossées sans peau","congelo"
"320043"," Mélange de Luxe Mouture filtre","tablette"
"320047","Equitable  mélange Rythme du monde Mouture filtre","tablette"
"320050"," Toscane Mouture Espresso régulière","tablette"
"320053","Yirgacheffe  noir - GRAINS","tablette"
"320068","Fromage affiné cajun","frigo"
"320075","Fromage tortillon fines herbes","frigo"
"320081","Chien chocolat au lait 33% ","tablette"
"320082","Mouton au lait","tablette"
"320115","Blue Mountain Jamaique - grains","tablette"
"321003","Galettes aux dattes","tablette"
"321004","Galettes blanches aux framboises","tablette"
"321005","Gâteau aux carottes","tablette"
"321006","Gâteau à la mélasse et aux épices","tablette"
"321013","Veau fumé au Bois","frigo"
"321014","Cubes à mijoter de veau","congelo"
"321017","Muffins carottes et ananas","tablette"
"321022","Mousse chocolat royal ","frigo"
"321025","Lazy Susan","tablette"
"321027","Poulets entiers","congelo"
"321035","Equitable Costa Rica Brun mouture Filtre","tablette"
"321037","Espresso Du Canton Grains","tablette"
"321040","Mélange Espiègle Mouture Filtre","tablette"
"321046","Mélange 7e ciel, Mouture filtre","tablette"
"321047","Mélange Gaillard Grains","tablette"
"321050","Carcasses","congelo"
"321053","Foie","congelo"
"321056","Equitable mélange Rythme du monde Grains","tablette"
"321062","Toscane, Grains","tablette"
"321072","Fromage affiné 8 mois","frigo"
"321075","Fromage Râpé ","frigo"
"321081","Grenouille chocolat noir","tablette"
"321094","Bleu de la Moutonnière","frigo"
"321098","Ricotta de brebis","frigo"
"321101","Beurre de brebis","frigo"
"321102","Chaussettes de laine Homme ( 10-13)","tablette"
"321104","Bonbons durs à l'érable","frigo"
"321106","Suçon à l'érable","frigo"
"321128","Laliberté, Triple crème","frigo"
"322001","Galettes aux canneberges et avoine","tablette"
"322013","Côtelettes de veau emballage individuel","congelo"
"322016","Pâté à la viande 9 pouces veau et porc 750g ","congelo"
"322027","Mousse framboise,chocolat noir et brownies","congelo"
"322031","Costa Rica Tarrazu - MOUTURE FILTRE","tablette"
"322036","Décaféiné Mélange Bisou-Dodo- MOUTURE FILTRE ","tablette"
"322038","Ailes","congelo"
"322050","Kenya Brun - GRAINS","tablette"
"322052","Tourtière au poulet","congelo"
"322067"," Toscane Mouture Moka Italienne","tablette"
"322088","Fromage éponge sans sel","tablette"
"322092","Guatemala Antigua Grains","tablette"
"322093","Fromage tortillon en pot de saumure","frigo"
"322105","Grosse tortue au lait ","tablette"
"322106","Mouton noir","tablette"
"322109","Mini-baguette au fromage, congelée,sac plastique","congelo"
"322112","Feta de brebis","frigo"
"322117","Cornets Tire d'érable","congelo"
"322118","Bonbons d'érable (type sucre mou)","frigo"
"322124","Panier cadeau Petites Douceurs","tablette"
"322145","Bleu d'Élizabeth","frigo"
"322148","Brie Paysan","frigo"
"322149","Champayeur","frigo"
"322156","CRETON  D'AGNEAU","congelo"
"323020","Muffins aux dattes","tablette"
"323034"," Décaféiné Mélange Espresso Bisou Dodo - Mouture Breville-","tablette"
"323035","Equitable Costa Rica Brun GRAINS","tablette"
"323047","Poitrine désossée","congelo"
"323050","Kenya brun - MOUTURE FILTRE","tablette"
"323051","Mélange 7e Ciel, Grains","tablette"
"323052","Mélange  Gaillard Mouture filtre","tablette"
"323053","Moussonné Malabar Indes Mouture filtre","tablette"
"323055","Mélange de Luxe Grains","tablette"
"323056"," Mélange de Luxe Mouture pré espresso (Breville)","tablette"
"323060","Cuisses de poulet","congelo"
"323071","Fromage affiné fines herbes  6 mois","frigo"
"323073","Fromage feta en pot de saumure","frigo"
"323074","Yirgacheffe  brun GRAINS","tablette"
"323077","Fromage tortillon BBQ","frigo"
"323083","Fromage Fleur de Weedon","frigo"
"323084","Guatemala Antigua Mouture filtre","tablette"
"323087","Chien chocolat noir 54%","tablette"
"323096","Souris chocolat noir 54%","tablette"
"323098","Tartinade à l'ail et aux fines herbes","frigo"
"323100","Sein d'Hélène","frigo"
"323104","Cornets de beurre d'érable","congelo"
"323109","Le Royogourt de brebis","frigo"
"323133","Louis d'or, veilli 9 mois","frigo"
"324027","Costa Rica Tarrazu - GRAINS","tablette"
"324029","Costa Rica Tarrazu - MOUTURE Moka Italienne","tablette"
"324031","Equitable Costa Rica Noir GRAINS","tablette"
"324033","Décaféiné   Sidamo - GRAINS ","tablette"
"324047","Lekempti brun- MOUTURE FILTRE","tablette"
"324049","Hauts de cuisses avec os et peau","congelo"
"324050","Moussonné Malabar Indes Grains","tablette"
"324052","Tournedos de hauts de cuisses","congelo"
"324053","Mélange Réveille-Matin grains","tablette"
"324054","Mélange Réveille-Matin mouture filtre","tablette"
"324055","Coeur","congelo"
"324056","Cubes à brochette","congelo"
"324057","Galette pur poulet","congelo"
"324070"," Toscane mouture filtre","tablette"
"324080","Fromage affiné fumé","frigo"
"324105","Chaussettes de laine femme(9-11)Homme 10-13","tablette"
"325035","Décaféiné  Sidamo Mouture espresso régulier","tablette"
"325036","Espresso du Canton  mouture Filtre","tablette"
"325037"," Équitable, Espresso Équitable : Grains","tablette"
"325038"," Équitable, Espresso Équitable :  Mouture espresso régulière","tablette"
"325039","Mélange Espiègle Grains","tablette"
"325041"," Mélange Espiègle Mouture espresso régulière","tablette"
"325042"," Mélange Espiègle Mouture pré espresso (Breville)","tablette"
"325047","Poitrine avec os","congelo"
"325053","Saucisses de poulets à l'italienne","congelo"
"325057","Equitable mélange Saveur & Monde Mouture filtre","tablette"
"325058","Fondue chinoise de poulet","congelo"
"325059","Sumatra Mandheling Noir Grains","tablette"
"325060","Sumatra Mandheling  Noir Mouture filtre","tablette"
"325061"," Toscane Mouture pré espresso (Breville)","tablette"
"325069","Fromage en grains","tablette"
"325075","Fromage en bloc","tablette"
"325079","Beurre","frigo"
"325096","Petite tortue chocolat noir","tablette"
"325097","Petite tortue au lait ","tablette"
"325109","Panier cadeau Tentation","frigo"
"325114","Yogourt de brebis 0% ","frigo"
"326005","Saucisses Tomate et Basilic(sans Gluten)","congelo"
"326022","Muffins avoine et pépites de chocolat","tablette"
"326030","Equitable Costa Rica  Noir Mouture Filtre","tablette"
"326036","Equitable Costa Rica Noir Mouture Moka","tablette"
"326043","Pâté au poulet","congelo"
